UniProtID	GeneID	Origin	Inf0h_counts	Inf15h_counts	Inf24h_counts	Inf48h_counts	Inf72h_counts	Inf0h_TMM	Inf15h_TMM	Inf24h_TMM	Inf48h_TMM	Inf72h_TMM	logFC_15h	pval_15h	FDR_15h	logFC_24h	pval_24h	FDR_24h	logFC_48h	pval_48h	FDR_48h	logFC_72h	pval_72h	FDR_72h	Ttest_FDR_24h	Ttest_FDR_48h	Ttest_FDR_72h
A0A060A624	BZLF1	Virus	345.8333333	11193	7447	5959.5	5892.5	18.05542425	365.9638028	395.2390043	317.5169482	316.6535304	2.083817633	2.38E-09	1.63E-07	5.021202228	1.35E-15	8.35E-13	4.102544925	1.26E-24	6.36E-22	4.320046242	0.000316765	0.02095585	0.00432	0.54526	0.97155
A0A0C7U0W0	BALF4	Virus	757.6666667	28793	26940	26039	21792.5	38.83805854	941.4094322	1373.473798	1322.505956	1182.068121	4.127719331	2.28E-27	3.84E-25	5.607630084	1.04E-09	1.71E-07	5.129875406	6.43E-15	9.44E-13	5.010056385	7.59E-08	0.000166483	4.00E-05	0.18594	0.84926
A0A0C7TI83	BBLF2	Virus	760.1666667	15416	12931.5	7974.5	7605.5	38.72401065	504.0380581	678.6632403	421.2046129	406.8221692	4.003237625	5.09E-26	8.38E-24	4.295263834	3.17E-15	1.60E-12	3.276057376	4.30E-21	1.16E-18	3.441258007	3.49E-07	0.000255912	8.00E-05	0.96303	0.35835
K9UT63	BGLF5	Virus	421.1666667	20655	11720	10843	8721	22.28124059	675.3312202	598.5661507	561.1344588	464.6823163	4.194430472	5.65E-28	1.03E-25	5.502041655	0.105619139	0.2981078	5.087882978	0.035532977	0.16297057	4.747921695	0.001635953	0.046329033	0.00013	0.96303	0.89599
K9URD1	BKRF4	Virus	162.5	15778	5375	2899	3198	7.791933226	515.8739284	282.5536383	147.8529648	174.655223	3.936908773	2.23E-25	3.36E-23	5.515944232	0.105320104	0.297576361	3.962163223	3.18E-22	1.07E-19	4.325296797	0.001202148	0.040429122	8.00E-05	0.38667	0.97155
A0A075FG62	BLRF2	Virus	1225.833333	16760	19824.5	20452	17139	63.27465627	547.9811789	1031.257199	1051.407159	954.5249683	4.862129043	1.18E-34	4.41E-32	4.392503109	3.20E-11	8.17E-09	4.174807515	1.60E-20	3.79E-18	3.72269531	1.24E-06	0.000715576	6.00E-05	0.77927	0.943
K9US98	BNLF2b	Virus	41.5	5083	3144.5	1930	2295	2.018164486	166.1926213	159.6172336	94.46518914	112.6194454	4.919824538	3.03E-34	1.02E-31	7.397143312	3.32E-07	2.60E-05	5.415441757	6.71E-13	8.46E-11	5.69197375	1.65E-05	0.003430579	2.00E-05	0.28537	0.15075
A0A0C7T190	BNRF1	Virus	2872.666667	42789	43726	38650	53219.5	147.0410862	1399.019491	2217.557534	1962.100951	2999.362739	4.729285183	1.52E-33	4.68E-31	4.241184286	0.001595567	0.016812896	3.858492166	2.12E-19	4.61E-17	3.926569432	0.000345055	0.022102672	0.00028	0.92373	0.93652
A0A0C7U0R3	BOLF1	Virus	542.5	6304	7973.5	7478	6813	27.80208984	206.1141618	414.2923223	382.6788862	380.5799234	2.909323255	9.54E-16	9.13E-14	4.198146624	3.99E-14	1.53E-11	3.973796269	4.41E-24	1.98E-21	3.421525704	7.39E-06	0.002130014	6.00E-05	0.53358	0.97155
A0A0C7T194	BPLF1	Virus	1124.666667	15663	29334	23489.5	19620.5	55.51891504	512.1139144	1482.99324	1179.843828	1058.628155	4.160310598	1.44E-27	2.48E-25	4.997948497	2.01E-16	2.70E-13	4.329718788	7.85E-26	5.76E-23	4.163664245	8.59E-06	0.002236504	1.00E-05	0.96303	0.21485
A0A0C7TI76	BRLF1	Virus	729.3333333	17323	18622	17143.5	12481.5	36.77493031	566.3888999	923.8448663	838.2465773	633.4628211	1.349403633	7.51E-05	0.003185484	4.897610394	0.005033805	0.038535137	4.519616564	0.000305505	0.005105028	4.180072942	0.000358176	0.022672626	0.02006	0.71589	0.41859
A0A0C7SXM1	BRRF2	Virus	495.5	7101	4957	3856	3235	25.50227769	232.172694	245.6074884	190.9493643	174.2219416	3.568419347	1.21E-21	1.53E-19	3.406175776	0.135156499	0.346201633	3.034592638	2.71E-05	0.000636033	2.918362189	5.72E-06	0.001776495	0.00254	0.89038	0.97155
A0A0B6VK71	BZLF2	Virus	156.5	5083	9007	6014	5831	7.593913726	166.1926213	455.9508519	302.0627318	326.127295	5.194359586	7.58E-37	4.13E-34	6.565411919	9.05E-06	0.000372207	5.240677549	1.25E-28	1.01E-24	4.758711961	0.00275202	0.057459523	0	0.96303	0.44712
