"UniProtID"	"GeneID"	"Origin"	"Mock0h_counts"	"Inf2h_counts"	"Inf4h_counts"	"Inf6h_counts"	"Inf9h_counts"	"Inf12h_counts"	"Inf18h_counts"	"Mock0h_TMM"	"Inf2h_TMM"	"Inf4h_TMM"	"Inf6h_TMM"	"Inf9h_TMM"	"Inf12h_TMM"	"Inf18h_TMM"	"logFC_2h"	"pval_2h"	"FDR_2h"	"logFC_4h"	"pval_4h"	"FDR_4h"	"logFC_6h"	"pval_6h"	"FDR_6h"	"logFC_9h"	"pval_9h"	"FDR_9h"	"logFC_12h"	"pval_12h"	"FDR_12h"	"logFC_18h"	"pval_18h"	"FDR_18h"
"6FT_ORF580_New"	"6FT_3_ORF580_100aa"	"Virus"	21.75	68	126	133	132	99	101	0.583956935198849	1.81846045472382	3.44251415123006	3.71469174215217	3.72167422756338	2.79609812834961	2.87482234637256	1.44637070045171	1.75103015810069e-05	0.000815863318331046	2.46766663654677	2.80762234590417e-16	1.4296331010969e-14	2.69371273715503	1.9798559096272e-19	6.8075833739891e-18	2.77740210682783	1.85918950075194e-18	6.4581398478856e-17	2.37062969808132	3.04368435716077e-10	9.65816386242698e-09	2.34104327329668	2.04632769114158e-09	5.69139984536231e-08
"6FT_ORF747_New"	"6FT_3_ORF747_628aa"	"Virus"	16.75	114	218	228	224	192	190	0.449994272333775	3.04859546821346	5.95609591244565	6.36804298654657	6.31556838616816	5.42273576407198	5.40808164169096	2.83054629518887	2.51327181984045e-17	2.40619955463902e-15	3.69130182143044	4.13624098968457e-37	3.74732690182332e-35	3.61424302834436	9.92348075607761e-40	5.86999115910353e-38	3.77266505590891	2.06502081137037e-36	1.27592701814052e-34	3.73735679917747	2.99711672273011e-24	2.11342139811908e-22	3.55466616086183	1.29619661960175e-20	7.86847704473027e-19
"6FT_ORF761_New"	"6FT_3_ORF761_511aa"	"Virus"	33.25	194	240	227	198	188	140	0.892967311725708	5.18796070906501	6.55716981186677	6.34011297344768	5.58251134134507	5.30976210232048	3.9849022622986	2.74397281534422	4.63891488375584e-25	5.49514849535078e-23	2.96799648204235	3.56488029504401e-32	2.85846033772724e-30	2.81549682689431	6.84590643254286e-31	3.48791437220067e-29	2.68728460542544	1.31826791890099e-23	5.86251376418263e-22	2.62039572129879	3.97383398639318e-16	1.91319552131109e-14	1.92260454182849	1.66897965041554e-08	4.17603832958813e-07
"6FT_ORF117_New"	"6FT_4_ORF117_99aa"	"Virus"	24.5	397	513	520	477	461	433	0.657452194223653	10.6166000077258	14.0159504728652	14.523606811422	13.4487773223313	13.0202145168603	12.3247334255378	4.10938188307343	1.05534644822001e-61	2.23509585654838e-59	4.62262711323213	3.35139681567366e-81	4.49602772810374e-79	4.72975985833422	2.03517169656191e-90	1.97298589472252e-88	4.36837954866174	4.48242706137101e-67	4.40793038626653e-65	4.10569973329335	1.00404211844406e-39	1.06200273164515e-37	4.07910794920217	3.28690483858723e-33	3.58529416846522e-31
"6FT_ORF232_New"	"6FT_4_ORF232_484aa"	"Virus"	45.5	67	80	82	86	104	122	1.22104563762237	1.79171838921317	2.18572327062226	2.29026107410885	2.42472714826099	2.93731520553899	3.47255768571735	0.166205687265094	0.550977773514195	0.999610801391582	0.697083655333134	0.0123840647254473	0.132705430913549	1.07131677706328	0.000182760006982868	0.00190113986399466	1.0944006583745	0.000189670604719428	0.0018999715382368	1.3091392447413	5.538616545105e-05	0.000899187955846	1.76159329774584	3.65976960410411e-07	7.42699174600313e-06
"6FT_ORF413_New"	"6FT_5_ORF413_275aa"	"Virus"	18	38	127	212	251	314	350	0.483556767194055	1.01619848940449	3.46983569211283	5.92116277696435	7.07681993271521	8.86843244749271	9.9622556557465	1.16192950264706	0.00546064023605502	0.136790016522539	2.83051738039859	5.32919821826829e-19	2.99810377182577e-17	3.50933234224573	1.48903947774754e-36	8.31479644374226e-35	3.93676901389966	7.1420188951302e-41	4.93718573522763e-39	4.44665922777532	2.0204153555703e-36	1.9589610551717e-34	4.13280977925121	3.43374661803758e-31	3.42442644864576e-29
"6FT_ORF558_New"	"6FT_5_ORF558_392aa"	"Virus"	15.5	257	564	916	1057	1263	1545	0.416309220304146	6.87271083623561	15.4093490578869	25.5838919985818	29.801588322231	35.671433698036	43.9762428232238	4.09476569627357	2.92825385714049e-45	4.54790360167887e-43	5.24132414917036	5.93313357400698e-94	9.19767551383837e-92	5.86610819956563	5.28256468580205e-149	6.82820398275895e-147	6.18958789666525	2.17615597151257e-130	4.34112028374308e-128	6.55292014945103	1.46576687899515e-83	6.82167905484342e-81	6.57739326065929	3.45699924401155e-74	2.41333117224447e-71
"6FT_ORF618_New"	"6FT_6_ORF618_159aa"	"Virus"	1690.25	1716	1643	1654	1659	1700	1648	45.3835716947329	45.8893844162658	44.8892916704046	46.1962416655615	46.7746783600579	48.0138062443873	46.9079923447721	0.0293590985423391	0.809150798850323	0.999610801391582	-0.0108660429786351	0.928135161827603	0.999549765162598	0.0250583989709206	0.818374163842675	0.940077907673201	0.0454922050757402	0.742088703918055	0.924235342625019	0.0799928638385032	0.705668140184118	0.996954681956703	0.0264099181310541	0.912162328100449	0.990019467112754
"H9E905"	"RL1"	"Virus"	34	452	936	1146	1168	1159	920	0.913949586087703	12.0874136108113	25.5729622662804	32.0077950113262	32.9311780135911	32.734118492497	26.1865005808194	3.82227299654481	5.00352438486732e-63	1.09280099768243e-60	4.71599792080639	1.38394725569154e-117	2.54063580413268e-115	4.8741428048543	7.09520556201349e-151	9.71069310252042e-149	5.29263156666119	1.95070963590395e-123	3.40496366947035e-121	5.78164495166945	2.53343975968728e-74	7.68954041842475e-72	4.53117453132884	3.37147817578839e-46	5.00772109471889e-44
"H9E965"	"RL2"	"Virus"	2250.5	19352	23908	23763	19233	16910	15748	60.4304988483001	517.51245176199	653.203399425462	663.700901268887	542.264851657019	477.596155054464	448.244577333417	3.15734394538214	2.0242652086208e-143	1.41475895430507e-140	3.46684329754241	6.64302462831193e-173	2.10644271850473e-170	3.46656815402549	1.63536698415696e-217	3.68221340303728e-215	3.1913736429371	2.21261193048024e-110	3.0896912997226e-108	3.01811642378926	2.51788363778625e-41	2.83505575409448e-39	2.78245767857766	2.28177437657887e-28	2.01633758517685e-26
