"Cluster";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"3";"comm 2";"GO:0043620";"regulation of DNA-templated transcription in response to stress";"4/27";"53/18723";9.56762681874069e-07;0.00039622428225554;0.000237511242390974;"CITED2/CREB3L1/EGR1/TP53";4
"5";"comm 2";"GO:0071559";"response to transforming growth factor beta";"6/27";"256/18723";1.43351766373206e-06;0.00039622428225554;0.000237511242390974;"CITED2/COL1A1/EPB41L5/ID1/TP53/ZNF703";6
"6";"comm 2";"GO:0061448";"connective tissue development";"5/27";"252/18723";2.68977560821797e-05;0.00583828301468271;0.00349967913211615;"COL1A1/CREB3L2/EGR1/RARA/TIMP1";5
"19";"comm 2";"GO:0051098";"regulation of binding";"5/27";"363/18723";0.000151389409659751;0.00996733302185555;0.00597478184797038;"EPB41L5/HDAC5/ID1/RARA/TERT";5
"23";"comm 2";"GO:0030098";"lymphocyte differentiation";"5/27";"374/18723";0.000174006787461196;0.00996733302185555;0.00597478184797038;"EGR1/HDAC5/NDFIP1/RARA/TP53";5
"25";"comm 2";"GO:0070986";"left/right axis specification";"2/27";"14/18723";0.000180306313709398;0.00996733302185555;0.00597478184797038;"CITED2/EPB41L5";2
"27";"comm 2";"GO:1903799";"negative regulation of production of miRNAs involved in gene silencing by miRNA";"2/27";"15/18723";0.000207860689581521;0.0104486737949088;0.00626331500997275;"TERT/TP53";2
"31";"comm 2";"GO:0090399";"replicative senescence";"2/27";"17/18723";0.000268750388896194;0.01198106572434;0.00718188645369456;"TERT/TP53";2
"34";"comm 2";"GO:0033273";"response to vitamin";"3/27";"93/18723";0.000318285696135067;0.0125677380588189;0.0075335591837082;"COL1A1/RARA/SPARC";3
"38";"comm 2";"GO:0022407";"regulation of cell-cell adhesion";"5/27";"448/18723";0.000400712455700385;0.0145732793099456;0.00873575353562889;"CITED2/EPB41L5/NDFIP1/RARA/ZNF703";5
"40";"comm 2";"GO:0032963";"collagen metabolic process";"3/27";"104/18723";0.000441966992288832;0.0152699595835791;0.00915336902450817;"COL1A1/CREB3L1/CST3";3
"42";"comm 2";"GO:0001667";"ameboidal-type cell migration";"5/27";"475/18723";0.000523470201241028;0.0166460283644652;0.00997823468873036;"EPB41L5/HDAC5/ID1/SPARC/TIMP1";5
"53";"comm 2";"GO:1903019";"negative regulation of glycoprotein metabolic process";"2/27";"30/18723";0.000849725205460201;0.0209032087803824;0.0125301434306961;"CST3/TMEM59";2
"57";"comm 2";"GO:0035264";"multicellular organism growth";"3/27";"132/18723";0.000885197279294442;0.0209032087803824;0.0125301434306961;"AR/RARA/TP53";3
"59";"comm 2";"GO:0002828";"regulation of type 2 immune response";"2/27";"31/18723";0.000907519918106327;0.0209032087803824;0.0125301434306961;"NDFIP1/RARA";2
"60";"comm 2";"GO:0071480";"cellular response to gamma radiation";"2/27";"31/18723";0.000907519918106327;0.0209032087803824;0.0125301434306961;"EGR1/TP53";2
"62";"comm 2";"GO:0045787";"positive regulation of cell cycle";"4/27";"313/18723";0.000992474186637502;0.0217652849277228;0.0130469032204417;"CDC25B/CITED2/RARA/TERT";4
"63";"comm 2";"GO:0003382";"epithelial cell morphogenesis";"2/27";"33/18723";0.00102864414123082;0.0217652849277228;0.0130469032204417;"AR/EPB41L5";2
"64";"comm 2";"GO:0032633";"interleukin-4 production";"2/27";"33/18723";0.00102864414123082;0.0217652849277228;0.0130469032204417;"NDFIP1/RARA";2
"65";"comm 2";"GO:0032673";"regulation of interleukin-4 production";"2/27";"33/18723";0.00102864414123082;0.0217652849277228;0.0130469032204417;"NDFIP1/RARA";2
"67";"comm 2";"GO:0032355";"response to estradiol";"3/27";"141/18723";0.00107118586460569;0.0217652849277228;0.0130469032204417;"COL1A1/RARA/ZNF703";3
