"UniProtID","Origin","activationTime","regulation","host_virus_connector","virus_host_connector","community"
"6FT_ORF117_New","Virus",1,"up",FALSE,TRUE,2
"6FT_ORF232_New","Virus",3,"up",FALSE,TRUE,3
"6FT_ORF413_New","Virus",1,"up",FALSE,TRUE,2
"6FT_ORF558_New","Virus",1,"up",FALSE,FALSE,2
"6FT_ORF580_New","Virus",1,"up",FALSE,FALSE,1
"6FT_ORF747_New","Virus",1,"up",FALSE,TRUE,2
"6FT_ORF761_New","Virus",1,"up",FALSE,FALSE,2
"A0A110B4Q7","Virus",1,"up",FALSE,TRUE,2
"A0A193GSF3","Virus",1,"up",FALSE,TRUE,2
"A1KXE4","Host",2,"down",TRUE,FALSE,2
"A1Z0P7","Virus",1,"up",FALSE,TRUE,2
"A1Z0P8","Virus",2,"up",FALSE,TRUE,2
"C0L315","Virus",1,"up",FALSE,TRUE,2
"D3YPA4","Virus",1,"up",FALSE,TRUE,1
"D3YPA9","Virus",1,"up",FALSE,TRUE,2
"D3YPC0","Virus",1,"up",FALSE,TRUE,2
"D3YPE9","Virus",1,"up",FALSE,TRUE,2
"D3YPI2","Virus",1,"up",FALSE,TRUE,2
"D3YPJ2","Virus",2,"up",FALSE,TRUE,2
"D3YPK9","Virus",1,"up",FALSE,TRUE,2
"D3YPL0","Virus",1,"up",FALSE,FALSE,2
"D3YPM6","Virus",1,"up",FALSE,TRUE,2
"E0Z2F8","Virus",1,"up",FALSE,TRUE,2
"E3UTT9","Virus",1,"up",FALSE,FALSE,1
"E7ERA6","Host",6,"down",FALSE,FALSE,6
"F8RDC3","Virus",1,"up",FALSE,TRUE,2
"F8REU5","Virus",1,"up",FALSE,FALSE,2
"F8REV0","Virus",1,"up",FALSE,TRUE,1
"F8RFM2","Virus",1,"up",FALSE,TRUE,2
"F8RFN2","Virus",2,"up",FALSE,TRUE,2
"F8RG07","Virus",2,"up",FALSE,TRUE,2
"F8RG79","Virus",1,"up",FALSE,TRUE,2
"F8RGC5","Virus",1,"up",FALSE,TRUE,2
"G8H8D9","Virus",1,"up",FALSE,TRUE,2
"G8H8L4","Virus",1,"up",FALSE,FALSE,2
"G8H977","Virus",1,"up",FALSE,TRUE,2
"G8HBC9","Virus",1,"up",FALSE,TRUE,2
"H9E905","Virus",1,"up",FALSE,TRUE,2
"H9E907","Virus",1,"up",FALSE,TRUE,2
"H9E908","Virus",1,"up",FALSE,TRUE,2
"H9E911","Virus",1,"up",FALSE,FALSE,2
"H9E912","Virus",1,"up",FALSE,FALSE,2
"H9E916","Virus",1,"up",FALSE,FALSE,2
