"Prot1","Prot2","positive_corr","InterType"
"6FT_ORF761_New","H9E965",TRUE,"VV"
"6FT_ORF747_New","H9E981",TRUE,"VV"
"6FT_ORF413_New","H9E907",TRUE,"VV"
"6FT_ORF558_New","H9E916",TRUE,"VV"
"H9E907","F8REU5",TRUE,"VV"
"6FT_ORF747_New","E3UTT9",TRUE,"VV"
"H9E965","E3UTT9",TRUE,"VV"
"6FT_ORF580_New","H9E920",TRUE,"VV"
"6FT_ORF747_New","H9E920",TRUE,"VV"
"H9E981","H9E920",TRUE,"VV"
"E3UTT9","H9E920",TRUE,"VV"
"6FT_ORF117_New","A0A193GSF3",TRUE,"VV"
"H9E905","A0A193GSF3",TRUE,"VV"
"6FT_ORF413_New","G8HBC9",TRUE,"VV"
"G8HBC9","G8H8D9",TRUE,"VV"
"6FT_ORF413_New","H9E925",TRUE,"VV"
"H9E907","H9E925",TRUE,"VV"
"G8HBC9","H9E925",TRUE,"VV"
"6FT_ORF747_New","H9E908",TRUE,"VV"
"6FT_ORF117_New","H9E908",TRUE,"VV"
"H9E905","H9E908",TRUE,"VV"
"A0A193GSF3","H9E908",TRUE,"VV"
"H9E905","F8RGC5",TRUE,"VV"
"F8REU5","F8RGC5",TRUE,"VV"
"H9E908","F8RGC5",TRUE,"VV"
"G8HBC9","F8RG07",TRUE,"VV"
"G8H8D9","F8RG07",TRUE,"VV"
"6FT_ORF413_New","G8H977",TRUE,"VV"
"H9E907","G8H977",TRUE,"VV"
"G8HBC9","G8H977",TRUE,"VV"
"H9E925","G8H977",TRUE,"VV"
"6FT_ORF747_New","C0L315",TRUE,"VV"
"F8REU5","C0L315",TRUE,"VV"
"H9E908","C0L315",TRUE,"VV"
"F8RGC5","C0L315",TRUE,"VV"
"F8REU5","G8H8L4",TRUE,"VV"
"C0L315","G8H8L4",TRUE,"VV"
"6FT_ORF413_New","D3YPI2",TRUE,"VV"
"H9E907","D3YPI2",TRUE,"VV"
"G8HBC9","D3YPI2",TRUE,"VV"
"H9E925","D3YPI2",TRUE,"VV"
"G8H977","D3YPI2",TRUE,"VV"
"6FT_ORF413_New","F8RDC3",TRUE,"VV"
"G8HBC9","F8RDC3",TRUE,"VV"
"H9E925","F8RDC3",TRUE,"VV"
"G8H977","F8RDC3",TRUE,"VV"
"D3YPI2","F8RDC3",TRUE,"VV"
"H9E907","A1Z0P7",TRUE,"VV"
"F8REU5","A1Z0P7",TRUE,"VV"
"G8HBC9","A1Z0P7",TRUE,"VV"
"H9E925","A1Z0P7",TRUE,"VV"
"F8RGC5","A1Z0P7",TRUE,"VV"
"G8H977","A1Z0P7",TRUE,"VV"
"G8H8L4","A1Z0P7",TRUE,"VV"
"D3YPI2","A1Z0P7",TRUE,"VV"
"F8RDC3","A1Z0P7",TRUE,"VV"
"6FT_ORF558_New","Q25BY8",TRUE,"VV"
"H9E905","Q25BY8",TRUE,"VV"
"A0A193GSF3","Q25BY8",TRUE,"VV"
"H9E908","Q25BY8",TRUE,"VV"
"F8RGC5","Q25BY8",TRUE,"VV"
"6FT_ORF747_New","H9E936",TRUE,"VV"
"H9E905","H9E936",TRUE,"VV"
"F8REU5","H9E936",TRUE,"VV"
"H9E908","H9E936",TRUE,"VV"
"F8RGC5","H9E936",TRUE,"VV"
"C0L315","H9E936",TRUE,"VV"
"G8H8L4","H9E936",TRUE,"VV"
"A1Z0P7","H9E936",TRUE,"VV"
"Q25BY8","H9E936",TRUE,"VV"
"F8RG07","F8RFN2",TRUE,"VV"
"6FT_ORF747_New","H9E937",TRUE,"VV"
"6FT_ORF117_New","H9E937",TRUE,"VV"
"H9E905","H9E937",TRUE,"VV"
"A0A193GSF3","H9E937",TRUE,"VV"
"H9E908","H9E937",TRUE,"VV"
"F8RGC5","H9E937",TRUE,"VV"
"C0L315","H9E937",TRUE,"VV"
"Q25BY8","H9E937",TRUE,"VV"
"H9E936","H9E937",TRUE,"VV"
"6FT_ORF413_New","H9E938",TRUE,"VV"
"H9E907","H9E938",TRUE,"VV"
"H9E925","H9E938",TRUE,"VV"
"G8H977","H9E938",TRUE,"VV"
"D3YPI2","H9E938",TRUE,"VV"
"6FT_ORF413_New","H9E939",TRUE,"VV"
"G8HBC9","H9E939",TRUE,"VV"
"F8RDC3","H9E939",TRUE,"VV"
"6FT_ORF580_New","Q25BW8",TRUE,"VV"
"E3UTT9","Q25BW8",TRUE,"VV"
"H9E920","Q25BW8",TRUE,"VV"
"6FT_ORF413_New","D3YPJ2",TRUE,"VV"
"G8HBC9","D3YPJ2",TRUE,"VV"
"G8H8D9","D3YPJ2",TRUE,"VV"
"F8RG07","D3YPJ2",TRUE,"VV"
"G8H977","D3YPJ2",TRUE,"VV"
"F8RDC3","D3YPJ2",TRUE,"VV"
"F8RFN2","D3YPJ2",TRUE,"VV"
"H9E939","D3YPJ2",TRUE,"VV"
"F8RG07","Q25BW6",TRUE,"VV"
"F8RFN2","Q25BW6",TRUE,"VV"
"G8HBC9","H9E944",TRUE,"VV"
"F8RG07","H9E944",TRUE,"VV"
"F8RDC3","H9E944",TRUE,"VV"
"H9E939","H9E944",TRUE,"VV"
"D3YPJ2","H9E944",TRUE,"VV"
"6FT_ORF413_New","Q1T724",TRUE,"VV"
"G8HBC9","Q1T724",TRUE,"VV"
"G8H8D9","Q1T724",TRUE,"VV"
"H9E925","Q1T724",TRUE,"VV"
"F8RG07","Q1T724",TRUE,"VV"
"G8H977","Q1T724",TRUE,"VV"
"D3YPI2","Q1T724",TRUE,"VV"
"F8RDC3","Q1T724",TRUE,"VV"
"F8RFN2","Q1T724",TRUE,"VV"
"D3YPJ2","Q1T724",TRUE,"VV"
"H9E905","H9E946",TRUE,"VV"
"F8REU5","H9E946",TRUE,"VV"
"H9E908","H9E946",TRUE,"VV"
"F8RGC5","H9E946",TRUE,"VV"
"C0L315","H9E946",TRUE,"VV"
"G8H8L4","H9E946",TRUE,"VV"
"A1Z0P7","H9E946",TRUE,"VV"
"Q25BY8","H9E946",TRUE,"VV"
"H9E936","H9E946",TRUE,"VV"
"H9E937","H9E946",TRUE,"VV"
"H9E920","D3YPA4",TRUE,"VV"
"F8REV0","D3YPA4",TRUE,"VV"
"Q25BW8","D3YPA4",TRUE,"VV"
"6FT_ORF413_New","H9E948",TRUE,"VV"
"G8HBC9","H9E948",TRUE,"VV"
"G8H977","H9E948",TRUE,"VV"
"D3YPI2","H9E948",TRUE,"VV"
"F8RDC3","H9E948",TRUE,"VV"
"H9E939","H9E948",TRUE,"VV"
"D3YPJ2","H9E948",TRUE,"VV"
"Q1T724","H9E948",TRUE,"VV"
"6FT_ORF558_New","H9E949",TRUE,"VV"
"H9E907","H9E949",TRUE,"VV"
"H9E916","H9E949",TRUE,"VV"
"H9E925","H9E949",TRUE,"VV"
"D3YPI2","H9E949",TRUE,"VV"
"H9E938","H9E949",TRUE,"VV"
"H9E943","A1Z0P8",TRUE,"VV"
"6FT_ORF413_New","D3YPA9",TRUE,"VV"
"F8REU5","D3YPA9",TRUE,"VV"
"G8HBC9","D3YPA9",TRUE,"VV"
"C0L315","D3YPA9",TRUE,"VV"
"G8H8L4","D3YPA9",TRUE,"VV"
"F8RDC3","D3YPA9",TRUE,"VV"
"A1Z0P7","D3YPA9",TRUE,"VV"
"H9E939","D3YPA9",TRUE,"VV"
"H9E948","D3YPA9",TRUE,"VV"
"F8REU5","H9E953",TRUE,"VV"
"F8RGC5","H9E953",TRUE,"VV"
"C0L315","H9E953",TRUE,"VV"
"G8H8L4","H9E953",TRUE,"VV"
"F8RDC3","H9E953",TRUE,"VV"
"A1Z0P7","H9E953",TRUE,"VV"
"H9E936","H9E953",TRUE,"VV"
"H9E946","H9E953",TRUE,"VV"
"D3YPA9","H9E953",TRUE,"VV"
"H9E943","H9E954",TRUE,"VV"
"A1Z0P8","H9E954",TRUE,"VV"
"6FT_ORF413_New","F8RG79",TRUE,"VV"
"H9E907","F8RG79",TRUE,"VV"
"F8REU5","F8RG79",TRUE,"VV"
"G8HBC9","F8RG79",TRUE,"VV"
"H9E925","F8RG79",TRUE,"VV"
"G8H977","F8RG79",TRUE,"VV"
"G8H8L4","F8RG79",TRUE,"VV"
"D3YPI2","F8RG79",TRUE,"VV"
"F8RDC3","F8RG79",TRUE,"VV"
"A1Z0P7","F8RG79",TRUE,"VV"
"H9E939","F8RG79",TRUE,"VV"
"D3YPJ2","F8RG79",TRUE,"VV"
"H9E944","F8RG79",TRUE,"VV"
"Q1T724","F8RG79",TRUE,"VV"
"H9E948","F8RG79",TRUE,"VV"
"D3YPA9","F8RG79",TRUE,"VV"
"H9E953","F8RG79",TRUE,"VV"
"6FT_ORF413_New","Q6GYI9",TRUE,"VV"
"H9E907","Q6GYI9",TRUE,"VV"
"F8REU5","Q6GYI9",TRUE,"VV"
"G8HBC9","Q6GYI9",TRUE,"VV"
"H9E925","Q6GYI9",TRUE,"VV"
"G8H977","Q6GYI9",TRUE,"VV"
"G8H8L4","Q6GYI9",TRUE,"VV"
"D3YPI2","Q6GYI9",TRUE,"VV"
"F8RDC3","Q6GYI9",TRUE,"VV"
"A1Z0P7","Q6GYI9",TRUE,"VV"
"H9E939","Q6GYI9",TRUE,"VV"
"D3YPJ2","Q6GYI9",TRUE,"VV"
"H9E948","Q6GYI9",TRUE,"VV"
"D3YPA9","Q6GYI9",TRUE,"VV"
"H9E953","Q6GYI9",TRUE,"VV"
"F8RG79","Q6GYI9",TRUE,"VV"
"H9E965","H9E911",TRUE,"VV"
"F8REU5","D3YPK9",TRUE,"VV"
"H9E908","D3YPK9",TRUE,"VV"
"F8RGC5","D3YPK9",TRUE,"VV"
"C0L315","D3YPK9",TRUE,"VV"
"G8H8L4","D3YPK9",TRUE,"VV"
"A1Z0P7","D3YPK9",TRUE,"VV"
"H9E936","D3YPK9",TRUE,"VV"
"H9E937","D3YPK9",TRUE,"VV"
"H9E946","D3YPK9",TRUE,"VV"
"D3YPA9","D3YPK9",TRUE,"VV"
"H9E953","D3YPK9",TRUE,"VV"
"F8RG79","D3YPK9",TRUE,"VV"
"Q6GYI9","D3YPK9",TRUE,"VV"
"6FT_ORF747_New","D3YPL0",TRUE,"VV"
"H9E905","D3YPL0",TRUE,"VV"
"F8REU5","D3YPL0",TRUE,"VV"
"H9E908","D3YPL0",TRUE,"VV"
"F8RGC5","D3YPL0",TRUE,"VV"
"C0L315","D3YPL0",TRUE,"VV"
"G8H8L4","D3YPL0",TRUE,"VV"
"A1Z0P7","D3YPL0",TRUE,"VV"
"Q25BY8","D3YPL0",TRUE,"VV"
"H9E936","D3YPL0",TRUE,"VV"
"H9E937","D3YPL0",TRUE,"VV"
"H9E946","D3YPL0",TRUE,"VV"
"D3YPA9","D3YPL0",TRUE,"VV"
"H9E953","D3YPL0",TRUE,"VV"
"D3YPK9","D3YPL0",TRUE,"VV"
"6FT_ORF747_New","H9E960",TRUE,"VV"
"6FT_ORF117_New","H9E960",TRUE,"VV"
"H9E905","H9E960",TRUE,"VV"
"A0A193GSF3","H9E960",TRUE,"VV"
"H9E908","H9E960",TRUE,"VV"
"F8RGC5","H9E960",TRUE,"VV"
"H9E936","H9E960",TRUE,"VV"
"H9E937","H9E960",TRUE,"VV"
"D3YPL0","H9E960",TRUE,"VV"
"D3YPA4","Q69472",TRUE,"VV"
"6FT_ORF747_New","Q9J0X9",TRUE,"VV"
"6FT_ORF117_New","Q9J0X9",TRUE,"VV"
"H9E981","Q9J0X9",TRUE,"VV"
"H9E908","Q9J0X9",TRUE,"VV"
"F8RGC5","Q9J0X9",TRUE,"VV"
"C0L315","Q9J0X9",TRUE,"VV"
"H9E936","Q9J0X9",TRUE,"VV"
"H9E937","Q9J0X9",TRUE,"VV"
"D3YPK9","Q9J0X9",TRUE,"VV"
"D3YPL0","Q9J0X9",TRUE,"VV"
"H9E960","Q9J0X9",TRUE,"VV"
"6FT_ORF747_New","D3YPC0",TRUE,"VV"
"H9E908","D3YPC0",TRUE,"VV"
"C0L315","D3YPC0",TRUE,"VV"
"G8H8L4","D3YPC0",TRUE,"VV"
"H9E936","D3YPC0",TRUE,"VV"
"H9E953","D3YPC0",TRUE,"VV"
"D3YPK9","D3YPC0",TRUE,"VV"
"D3YPL0","D3YPC0",TRUE,"VV"
"H9E960","D3YPC0",TRUE,"VV"
"Q9J0X9","D3YPC0",TRUE,"VV"
"H9E905","H9E912",TRUE,"VV"
"H9E907","H9E912",TRUE,"VV"
"F8REU5","H9E912",TRUE,"VV"
"H9E908","H9E912",TRUE,"VV"
"F8RGC5","H9E912",TRUE,"VV"
"C0L315","H9E912",TRUE,"VV"
"G8H8L4","H9E912",TRUE,"VV"
"A1Z0P7","H9E912",TRUE,"VV"
"Q25BY8","H9E912",TRUE,"VV"
"H9E936","H9E912",TRUE,"VV"
"H9E946","H9E912",TRUE,"VV"
"H9E953","H9E912",TRUE,"VV"
"Q6GYI9","H9E912",TRUE,"VV"
"D3YPK9","H9E912",TRUE,"VV"
"D3YPL0","H9E912",TRUE,"VV"
"H9E981","A0A110B4Q7",TRUE,"VV"
"C0L315","A0A110B4Q7",TRUE,"VV"
"D3YPA9","A0A110B4Q7",TRUE,"VV"
"H9E953","A0A110B4Q7",TRUE,"VV"
"D3YPK9","A0A110B4Q7",TRUE,"VV"
"6FT_ORF747_New","D3YPE9",TRUE,"VV"
"H9E981","D3YPE9",TRUE,"VV"
"H9E908","D3YPE9",TRUE,"VV"
"F8RGC5","D3YPE9",TRUE,"VV"
"C0L315","D3YPE9",TRUE,"VV"
"H9E936","D3YPE9",TRUE,"VV"
"H9E937","D3YPE9",TRUE,"VV"
"H9E946","D3YPE9",TRUE,"VV"
"H9E953","D3YPE9",TRUE,"VV"
"D3YPK9","D3YPE9",TRUE,"VV"
"D3YPL0","D3YPE9",TRUE,"VV"
"H9E960","D3YPE9",TRUE,"VV"
"Q9J0X9","D3YPE9",TRUE,"VV"
"D3YPC0","D3YPE9",TRUE,"VV"
"A0A110B4Q7","D3YPE9",TRUE,"VV"
"6FT_ORF747_New","H9E968",TRUE,"VV"
"H9E981","H9E968",TRUE,"VV"
"H9E920","H9E968",TRUE,"VV"
"C0L315","H9E968",TRUE,"VV"
"H9E953","H9E968",TRUE,"VV"
"D3YPK9","H9E968",TRUE,"VV"
"Q9J0X9","H9E968",TRUE,"VV"
"D3YPC0","H9E968",TRUE,"VV"
"A0A110B4Q7","H9E968",TRUE,"VV"
"D3YPE9","H9E968",TRUE,"VV"
"F8REU5","H9E978",TRUE,"VV"
"G8HBC9","H9E978",TRUE,"VV"
"C0L315","H9E978",TRUE,"VV"
"G8H8L4","H9E978",TRUE,"VV"
"F8RDC3","H9E978",TRUE,"VV"
"A1Z0P7","H9E978",TRUE,"VV"
"H9E939","H9E978",TRUE,"VV"
"D3YPA9","H9E978",TRUE,"VV"
"H9E953","H9E978",TRUE,"VV"
"F8RG79","H9E978",TRUE,"VV"
"Q6GYI9","H9E978",TRUE,"VV"
"D3YPK9","H9E978",TRUE,"VV"
"D3YPL0","H9E978",TRUE,"VV"
"D3YPC0","H9E978",TRUE,"VV"
"H9E912","H9E978",TRUE,"VV"
"A0A110B4Q7","H9E978",TRUE,"VV"
"D3YPE9","H9E978",TRUE,"VV"
"H9E968","H9E978",TRUE,"VV"
"A1Z0P8","Q5MDG9",TRUE,"VV"
"6FT_ORF413_New","H9E969",TRUE,"VV"
"F8REU5","H9E969",TRUE,"VV"
"G8HBC9","H9E969",TRUE,"VV"
"G8H977","H9E969",TRUE,"VV"
"G8H8L4","H9E969",TRUE,"VV"
"F8RDC3","H9E969",TRUE,"VV"
"H9E939","H9E969",TRUE,"VV"
"D3YPJ2","H9E969",TRUE,"VV"
"H9E948","H9E969",TRUE,"VV"
"D3YPA9","H9E969",TRUE,"VV"
"H9E953","H9E969",TRUE,"VV"
"F8RG79","H9E969",TRUE,"VV"
"Q6GYI9","H9E969",TRUE,"VV"
"D3YPK9","H9E969",TRUE,"VV"
"H9E978","H9E969",TRUE,"VV"
"6FT_ORF580_New","H9E970",TRUE,"VV"
"H9E920","H9E970",TRUE,"VV"
"Q25BW8","H9E970",TRUE,"VV"
"D3YPA4","H9E970",TRUE,"VV"
"H9E925","Q9W8W3",TRUE,"VV"
"D3YPI2","Q9W8W3",TRUE,"VV"
"A1Z0P7","Q9W8W3",TRUE,"VV"
"6FT_ORF413_New","F8RFM2",TRUE,"VV"
"H9E907","F8RFM2",TRUE,"VV"
"F8REU5","F8RFM2",TRUE,"VV"
"G8HBC9","F8RFM2",TRUE,"VV"
"H9E925","F8RFM2",TRUE,"VV"
"G8H977","F8RFM2",TRUE,"VV"
"D3YPI2","F8RFM2",TRUE,"VV"
"F8RDC3","F8RFM2",TRUE,"VV"
"A1Z0P7","F8RFM2",TRUE,"VV"
"H9E938","F8RFM2",TRUE,"VV"
"H9E946","F8RFM2",TRUE,"VV"
"H9E949","F8RFM2",TRUE,"VV"
"F8RG79","F8RFM2",TRUE,"VV"
"Q6GYI9","F8RFM2",TRUE,"VV"
"H9E912","F8RFM2",TRUE,"VV"
"Q9W8W3","F8RFM2",TRUE,"VV"
"6FT_ORF558_New","Q702Y4",TRUE,"VV"
"H9E916","Q702Y4",TRUE,"VV"
"H9E949","Q702Y4",TRUE,"VV"
"6FT_ORF413_New","D3YPM6",TRUE,"VV"
"F8REU5","D3YPM6",TRUE,"VV"
"G8HBC9","D3YPM6",TRUE,"VV"
"G8H977","D3YPM6",TRUE,"VV"
"C0L315","D3YPM6",TRUE,"VV"
"G8H8L4","D3YPM6",TRUE,"VV"
"D3YPI2","D3YPM6",TRUE,"VV"
"F8RDC3","D3YPM6",TRUE,"VV"
"A1Z0P7","D3YPM6",TRUE,"VV"
"H9E939","D3YPM6",TRUE,"VV"
"D3YPJ2","D3YPM6",TRUE,"VV"
"H9E944","D3YPM6",TRUE,"VV"
"H9E948","D3YPM6",TRUE,"VV"
"D3YPA9","D3YPM6",TRUE,"VV"
"H9E953","D3YPM6",TRUE,"VV"
"F8RG79","D3YPM6",TRUE,"VV"
"Q6GYI9","D3YPM6",TRUE,"VV"
"D3YPK9","D3YPM6",TRUE,"VV"
"H9E912","D3YPM6",TRUE,"VV"
"A0A110B4Q7","D3YPM6",TRUE,"VV"
"H9E978","D3YPM6",TRUE,"VV"
"H9E969","D3YPM6",TRUE,"VV"
"F8RFM2","D3YPM6",TRUE,"VV"
"6FT_ORF747_New","E0Z2F8",TRUE,"VV"
"6FT_ORF117_New","E0Z2F8",TRUE,"VV"
"H9E965","E0Z2F8",TRUE,"VV"
"H9E981","E0Z2F8",TRUE,"VV"
"H9E937","E0Z2F8",TRUE,"VV"
"H9E911","E0Z2F8",TRUE,"VV"
"H9E960","E0Z2F8",TRUE,"VV"
"Q9J0X9","E0Z2F8",TRUE,"VV"
"O15438","Q96AP0",TRUE,"HH"
"O15438","Q53H80",TRUE,"HH"
"F8REV0","Q06481",FALSE,"VH"
"Q9UBZ4","Q06481",TRUE,"HH"
"P13196","Q6P4F7",TRUE,"HH"
"6FT_ORF413_New","P18850",FALSE,"VH"
"G8HBC9","P18850",FALSE,"VH"
"G8H8D9","P18850",FALSE,"VH"
"F8RG07","P18850",FALSE,"VH"
"G8H977","P18850",FALSE,"VH"
"F8RFN2","P18850",FALSE,"VH"
"D3YPJ2","P18850",FALSE,"VH"
"Q1T724","P18850",FALSE,"VH"
"H9E948","P18850",FALSE,"VH"
"Q86SQ4","O14965",TRUE,"HH"
"O75787","O14965",TRUE,"HH"
"P13196","Q6W2J9",TRUE,"HH"
"Q6P4F7","Q6W2J9",TRUE,"HH"
"O75882","P54132",TRUE,"HH"
"Q6W2J9","P54132",TRUE,"HH"
"O15438","P13497",TRUE,"HH"
"Q86SQ4","P13497",TRUE,"HH"
"O14965","P13497",TRUE,"HH"
"F8RDC3","Q01954",FALSE,"VH"
"H9E939","Q01954",FALSE,"VH"
"H9E944","Q01954",FALSE,"VH"
"D3YPA9","Q01954",FALSE,"VH"
"H9E953","Q01954",FALSE,"VH"
"D3YPK9","Q01954",FALSE,"VH"
"A0A110B4Q7","Q01954",FALSE,"VH"
"H9E968","Q01954",FALSE,"VH"
"H9E978","Q01954",FALSE,"VH"
"D3YPM6","Q01954",FALSE,"VH"
"Q53H80","Q12982",FALSE,"HH"
"O75787","Q9H0C5",TRUE,"HH"
"Q53H80","Q9BSF8",TRUE,"HH"
"Q96AP0","Q9BX70",TRUE,"HH"
"Q96AP0","P41223",TRUE,"HH"
"Q86SQ4","P41223",TRUE,"HH"
"O75787","Q6ZRI6",TRUE,"HH"
"Q9H0C5","Q6ZRI6",TRUE,"HH"
"Q86SQ4","Q8N9M1",TRUE,"HH"
"O14965","Q8N9M1",TRUE,"HH"
"O75787","Q9NS00",FALSE,"HH"
"Q6ZRI6","Q9NS00",FALSE,"HH"
"O15438","Q8NDD1",TRUE,"HH"
"Q96AP0","Q8NDD1",TRUE,"HH"
"Q53H80","Q8NDD1",TRUE,"HH"
"Q9BSF8","Q8NDD1",TRUE,"HH"
"Q8TB40","Q8N0T1",TRUE,"HH"
"Q9NWQ9","Q8N0T1",TRUE,"HH"
"Q6P4F7","Q13137",TRUE,"HH"
"Q9BSF8","Q13137",TRUE,"HH"
"Q9UBZ4","Q8IVM0",TRUE,"HH"
"P05067","Q8IVM0",TRUE,"HH"
"O75787","Q96M83",TRUE,"HH"
"Q9H0C5","Q96M83",TRUE,"HH"
"Q9BSF8","Q96M83",TRUE,"HH"
"Q6ZRI6","Q96M83",TRUE,"HH"
"Q96AP0","P14635",TRUE,"HH"
"O75787","P14635",TRUE,"HH"
"O14965","P14635",TRUE,"HH"
"Q9NS00","P14635",FALSE,"HH"
"Q8NDD1","P14635",TRUE,"HH"
"P35869","O95067",TRUE,"HH"
"Q6P4F7","O95067",TRUE,"HH"
"Q9BSF8","O95067",TRUE,"HH"
"Q13137","O95067",TRUE,"HH"
"Q96M83","O95067",TRUE,"HH"
"6FT_ORF413_New","P24385",FALSE,"VH"
"H9E907","P24385",FALSE,"VH"
"G8HBC9","P24385",FALSE,"VH"
"H9E925","P24385",FALSE,"VH"
"G8H977","P24385",FALSE,"VH"
"D3YPI2","P24385",FALSE,"VH"
"F8RDC3","P24385",FALSE,"VH"
"A1Z0P7","P24385",FALSE,"VH"
"H9E939","P24385",FALSE,"VH"
"D3YPJ2","P24385",FALSE,"VH"
"Q1T724","P24385",FALSE,"VH"
"H9E948","P24385",FALSE,"VH"
"D3YPA9","P24385",FALSE,"VH"
"F8RG79","P24385",FALSE,"VH"
"Q6GYI9","P24385",FALSE,"VH"
"H9E969","P24385",FALSE,"VH"
"F8RFM2","P24385",FALSE,"VH"
"D3YPM6","P24385",FALSE,"VH"
"P18850","P24385",TRUE,"HH"
"Q8N302","Q9ULG6",TRUE,"HH"
"Q53H80","Q9ULG6",TRUE,"HH"
"Q9BSF8","Q9ULG6",TRUE,"HH"
"Q13137","Q9ULG6",TRUE,"HH"
"Q53H80","Q9Y5K6",TRUE,"HH"
"Q12982","Q9Y5K6",FALSE,"HH"
"Q9ULG6","Q9Y5K6",TRUE,"HH"
"Q8TB40","Q9NPF0",TRUE,"HH"
"Q8N0T1","Q9NPF0",TRUE,"HH"
"O15438","Q12834",TRUE,"HH"
"Q96AP0","Q12834",TRUE,"HH"
"Q86SQ4","Q12834",TRUE,"HH"
"P41223","Q12834",TRUE,"HH"
"Q4AC94","Q12834",TRUE,"HH"
"F8REV0","P30305",FALSE,"VH"
"H9E944","P30305",FALSE,"VH"
"Q9UBZ4","P30305",TRUE,"HH"
"Q06481","P30305",TRUE,"HH"
"Q8IVM0","P30305",TRUE,"HH"
"Q96AP0","O00311",TRUE,"HH"
"Q86SQ4","O00311",TRUE,"HH"
"O14965","O00311",TRUE,"HH"
"P13497","O00311",TRUE,"HH"
"P41223","O00311",TRUE,"HH"
"Q8N9M1","O00311",TRUE,"HH"
"Q53H80","Q9BXL8",TRUE,"HH"
"Q12982","Q9BXL8",FALSE,"HH"
"Q53H80","Q96GN5",TRUE,"HH"
"Q9BSF8","Q96GN5",TRUE,"HH"
"Q8NDD1","Q96GN5",TRUE,"HH"
"Q13137","Q96GN5",TRUE,"HH"
"Q96M83","Q96GN5",TRUE,"HH"
"O95067","Q96GN5",TRUE,"HH"
"Q9ULG6","Q96GN5",TRUE,"HH"
"Q96AP0","Q96SZ6",TRUE,"HH"
"Q86SQ4","Q96SZ6",TRUE,"HH"
"O14965","Q96SZ6",TRUE,"HH"
"Q9BX70","Q96SZ6",TRUE,"HH"
"P41223","Q96SZ6",TRUE,"HH"
"Q8N9M1","Q96SZ6",TRUE,"HH"
"P14635","Q96SZ6",TRUE,"HH"
"O00311","Q96SZ6",TRUE,"HH"
"O75882","Q9H211",TRUE,"HH"
"Q6W2J9","Q9H211",TRUE,"HH"
"P54132","Q9H211",TRUE,"HH"
"Q53H80","P49715",TRUE,"HH"
"Q12982","P49715",FALSE,"HH"
"Q9BSF8","P49715",TRUE,"HH"
"Q9ULG6","P49715",TRUE,"HH"
"Q9Y5K6","P49715",TRUE,"HH"
"Q9BXL8","P49715",TRUE,"HH"
"Q96GN5","P49715",TRUE,"HH"
"Q86SQ4","P17676",TRUE,"HH"
"O14965","P17676",TRUE,"HH"
"P13497","P17676",TRUE,"HH"
"P41223","P17676",TRUE,"HH"
"O00311","P17676",TRUE,"HH"
"O15438","Q9HCU4",TRUE,"HH"
"Q53H80","Q9HCU4",TRUE,"HH"
"P13497","Q9HCU4",TRUE,"HH"
"Q9BXL8","Q9HCU4",TRUE,"HH"
"F8REV0","P07199",FALSE,"VH"
"Q9UBZ4","P07199",TRUE,"HH"
"Q06481","P07199",TRUE,"HH"
"P05067","P07199",TRUE,"HH"
"Q6W2J9","P07199",TRUE,"HH"
"Q8IVM0","P07199",TRUE,"HH"
"P30305","P07199",TRUE,"HH"
"O75787","Q02224",TRUE,"HH"
"O14965","Q02224",TRUE,"HH"
"Q8N9M1","Q02224",TRUE,"HH"
"Q9NS00","Q02224",FALSE,"HH"
"P14635","Q02224",TRUE,"HH"
"O00311","Q02224",TRUE,"HH"
"Q96SZ6","Q02224",TRUE,"HH"
"O75787","Q9H3R5",TRUE,"HH"
"Q9H0C5","Q9H3R5",TRUE,"HH"
"Q96M83","Q9H3R5",TRUE,"HH"
"H9E944","Q92674",FALSE,"VH"
"A0A110B4Q7","Q92674",FALSE,"VH"
"Q01954","Q92674",TRUE,"HH"
"Q13137","Q96BT3",TRUE,"HH"
"Q9ULG6","Q96BT3",TRUE,"HH"
"F8REV0","Q71F23",FALSE,"VH"
"Q9UBZ4","Q71F23",TRUE,"HH"
"Q06481","Q71F23",TRUE,"HH"
"Q8IVM0","Q71F23",TRUE,"HH"
"P30305","Q71F23",TRUE,"HH"
"P07199","Q71F23",TRUE,"HH"
"Q8N9M1","O15182",TRUE,"HH"
"Q9UNZ5","O15182",TRUE,"HH"
"Q96SZ6","O15182",TRUE,"HH"
