"Prot1","Prot2","positive_corr","InterType"
"P07610","Q80HV8",TRUE,"VV"
"P16715","Q80HV8",TRUE,"VV"
"P07610","Q80HV7",TRUE,"VV"
"P16715","Q80HV7",TRUE,"VV"
"Q80HV8","Q80HV7",TRUE,"VV"
"P07610","Q76ZQ4",TRUE,"VV"
"Q80HV8","Q76ZQ4",TRUE,"VV"
"Q80HV7","Q76ZQ4",TRUE,"VV"
"P07610","P68593",TRUE,"VV"
"P16715","P68593",TRUE,"VV"
"Q80HV8","P68593",TRUE,"VV"
"Q80HV7","P68593",TRUE,"VV"
"Q76ZQ4","P68593",TRUE,"VV"
"P07610","P16712",TRUE,"VV"
"Q80HV7","P16712",TRUE,"VV"
"P68593","P16712",TRUE,"VV"
"P07610","P68714",TRUE,"VV"
"Q80HV8","P68714",TRUE,"VV"
"Q80HV7","P68714",TRUE,"VV"
"Q76ZQ4","P68714",TRUE,"VV"
"P68593","P68714",TRUE,"VV"
"P16712","P68319",TRUE,"VV"
"P07610","P07608",TRUE,"VV"
"P16715","P07608",TRUE,"VV"
"Q80HV8","P07608",TRUE,"VV"
"Q80HV7","P07608",TRUE,"VV"
"Q76ZQ4","P07608",TRUE,"VV"
"P68593","P07608",TRUE,"VV"
"P68714","P07608",TRUE,"VV"
"P16712","P68710",TRUE,"VV"
"P16715","P68712",TRUE,"VV"
"Q80HV8","P68712",TRUE,"VV"
"Q80HV7","P68712",TRUE,"VV"
"P68593","P68712",TRUE,"VV"
"P07608","P68712",TRUE,"VV"
"P68710","Q80HV2",TRUE,"VV"
"P07610","Q76ZP7",TRUE,"VV"
"Q80HV7","Q76ZP7",TRUE,"VV"
"P16712","Q76ZP7",TRUE,"VV"
"P68319","Q76ZP7",TRUE,"VV"
"P68710","Q76ZP7",TRUE,"VV"
"P16715","P24759",TRUE,"VV"
"Q80HV8","P24759",TRUE,"VV"
"P68593","P24759",TRUE,"VV"
"P68714","P24759",TRUE,"VV"
"P07608","P24759",TRUE,"VV"
"P68712","P24759",TRUE,"VV"
"P16715","P11258",TRUE,"VV"
"Q80HV8","P11258",TRUE,"VV"
"Q80HV7","P11258",TRUE,"VV"
"P68593","P11258",TRUE,"VV"
"P68714","P11258",TRUE,"VV"
"P07608","P11258",TRUE,"VV"
"P68712","P11258",TRUE,"VV"
"P24759","P11258",TRUE,"VV"
"P16715","P68633",TRUE,"VV"
"Q80HV8","P68633",TRUE,"VV"
"Q80HV7","P68633",TRUE,"VV"
"P68593","P68633",TRUE,"VV"
"P68714","P68633",TRUE,"VV"
"P07608","P68633",TRUE,"VV"
"P68712","P68633",TRUE,"VV"
"P24759","P68633",TRUE,"VV"
"P11258","P68633",TRUE,"VV"
"P16712","P24757",TRUE,"VV"
"P68710","P24757",TRUE,"VV"
"Q76ZP7","P24757",TRUE,"VV"
"P16715","P06440",TRUE,"VV"
"Q80HV8","P06440",TRUE,"VV"
"Q80HV7","P06440",TRUE,"VV"
"P68593","P06440",TRUE,"VV"
"P68714","P06440",TRUE,"VV"
"P07608","P06440",TRUE,"VV"
"P68712","P06440",TRUE,"VV"
"P24759","P06440",TRUE,"VV"
"P11258","P06440",TRUE,"VV"
"P68633","P06440",TRUE,"VV"
"P68712","P68596",TRUE,"VV"
"P07610","P68617",TRUE,"VV"
"P16715","P68617",TRUE,"VV"
"Q80HV8","P68617",TRUE,"VV"
"Q80HV7","P68617",TRUE,"VV"
"Q76ZQ4","P68617",TRUE,"VV"
"P68593","P68617",TRUE,"VV"
"P16712","P68617",TRUE,"VV"
"P68714","P68617",TRUE,"VV"
"P07608","P68617",TRUE,"VV"
"P68712","P68617",TRUE,"VV"
"Q76ZP7","P68617",TRUE,"VV"
"P11258","P68617",TRUE,"VV"
"P68633","P68617",TRUE,"VV"
"P06440","P68617",TRUE,"VV"
"P07610","P24761",TRUE,"VV"
"P16715","P24761",TRUE,"VV"
"Q80HV8","P24761",TRUE,"VV"
"Q80HV7","P24761",TRUE,"VV"
"Q76ZQ4","P24761",TRUE,"VV"
"P68593","P24761",TRUE,"VV"
"P68714","P24761",TRUE,"VV"
"P07608","P24761",TRUE,"VV"
"P24759","P24761",TRUE,"VV"
"P11258","P24761",TRUE,"VV"
"P68633","P24761",TRUE,"VV"
"P06440","P24761",TRUE,"VV"
"P68617","P24761",TRUE,"VV"
"P07610","P24764",TRUE,"VV"
"Q80HV8","P24764",TRUE,"VV"
"Q80HV7","P24764",TRUE,"VV"
"Q76ZQ4","P24764",TRUE,"VV"
"P68593","P24764",TRUE,"VV"
"P68714","P24764",TRUE,"VV"
"P07608","P24764",TRUE,"VV"
"P24759","P24764",TRUE,"VV"
"P11258","P24764",TRUE,"VV"
"P68633","P24764",TRUE,"VV"
"P24761","P24764",TRUE,"VV"
"P16715","P29191",TRUE,"VV"
"Q80HV8","P29191",TRUE,"VV"
"Q80HV7","P29191",TRUE,"VV"
"Q76ZQ4","P29191",TRUE,"VV"
"P68593","P29191",TRUE,"VV"
"P07608","P29191",TRUE,"VV"
"P68712","P29191",TRUE,"VV"
"P11258","P29191",TRUE,"VV"
"P68633","P29191",TRUE,"VV"
"P06440","P29191",TRUE,"VV"
"P68617","P29191",TRUE,"VV"
"P24761","P29191",TRUE,"VV"
"P16715","Q76ZN5",TRUE,"VV"
"Q80HV8","Q76ZN5",TRUE,"VV"
"P68593","Q76ZN5",TRUE,"VV"
"P07608","Q76ZN5",TRUE,"VV"
"P68712","Q76ZN5",TRUE,"VV"
"P24759","Q76ZN5",TRUE,"VV"
"P11258","Q76ZN5",TRUE,"VV"
"P68633","Q76ZN5",TRUE,"VV"
"P06440","Q76ZN5",TRUE,"VV"
"P68617","Q76ZN5",TRUE,"VV"
"P24761","Q76ZN5",TRUE,"VV"
"P24764","Q76ZN5",TRUE,"VV"
"P29191","Q76ZN5",TRUE,"VV"
"P16715","P26669",TRUE,"VV"
"Q80HV7","P26669",TRUE,"VV"
"P68593","P26669",TRUE,"VV"
"P07608","P26669",TRUE,"VV"
"P68712","P26669",TRUE,"VV"
"P11258","P26669",TRUE,"VV"
"P68633","P26669",TRUE,"VV"
"P06440","P26669",TRUE,"VV"
"P68596","P26669",TRUE,"VV"
"P68617","P26669",TRUE,"VV"
"P29191","P26669",TRUE,"VV"
"Q76ZN5","P26669",TRUE,"VV"
"P68710","P26672",TRUE,"VV"
"Q80HV2","P26672",TRUE,"VV"
"Q76ZP7","P26672",TRUE,"VV"
"P24757","P26672",TRUE,"VV"
"P07610","P31037",TRUE,"VV"
"P16712","P31037",TRUE,"VV"
"P68710","P31037",TRUE,"VV"
"Q76ZP7","P31037",TRUE,"VV"
"Q80HV7","P68611",TRUE,"VV"
"P16712","P68611",TRUE,"VV"
"P68710","P68611",TRUE,"VV"
"Q76ZP7","P68611",TRUE,"VV"
"P24757","P68611",TRUE,"VV"
"P68617","P68611",TRUE,"VV"
"P29191","P68611",TRUE,"VV"
"P26669","P68611",TRUE,"VV"
"P26672","P68611",TRUE,"VV"
"P16712","P16272",TRUE,"VV"
"P68319","P16272",TRUE,"VV"
"P68710","P16272",TRUE,"VV"
"Q80HV2","P16272",TRUE,"VV"
"Q76ZP7","P16272",TRUE,"VV"
"P24757","P16272",TRUE,"VV"
"P26672","P16272",TRUE,"VV"
"P68611","P16272",TRUE,"VV"
"P68710","Q01219",TRUE,"VV"
"Q80HV2","Q01219",TRUE,"VV"
"Q76ZP7","Q01219",TRUE,"VV"
"P24757","Q01219",TRUE,"VV"
"P26672","Q01219",TRUE,"VV"
"P16272","Q01219",TRUE,"VV"
"P26670","Q01220",TRUE,"VV"
"Q80HT9","Q01220",TRUE,"VV"
"P24757","P24768",TRUE,"VV"
"P26672","P24768",TRUE,"VV"
"P16272","P24768",TRUE,"VV"
"P07610","P29192",TRUE,"VV"
"P16715","P29192",TRUE,"VV"
"Q80HV8","P29192",TRUE,"VV"
"Q80HV7","P29192",TRUE,"VV"
"Q76ZQ4","P29192",TRUE,"VV"
"P68593","P29192",TRUE,"VV"
"P16712","P29192",TRUE,"VV"
"P68714","P29192",TRUE,"VV"
"P07608","P29192",TRUE,"VV"
"Q76ZP7","P29192",TRUE,"VV"
"P11258","P29192",TRUE,"VV"
"P68633","P29192",TRUE,"VV"
"P06440","P29192",TRUE,"VV"
"P68617","P29192",TRUE,"VV"
