"UniProtID","Origin","activationTime","regulation","host_virus_connector","virus_host_connector","community"
"A2VDJ0-5","Host",5,"down",FALSE,FALSE,4
"A6ZKI3","Host",4,"down",FALSE,FALSE,2
"A9YTQ3-2","Host",6,"down",FALSE,FALSE,4
"O00762","Host",6,"down",FALSE,FALSE,4
"O00767","Host",5,"down",FALSE,FALSE,4
"O14746","Host",3,"down",TRUE,FALSE,2
"O14874","Host",6,"down",FALSE,FALSE,4
"O14879","Host",5,"down",FALSE,FALSE,4
"O15417","Host",4,"down",FALSE,FALSE,4
"O43164","Host",5,"down",FALSE,FALSE,4
"O60279","Host",6,"down",FALSE,FALSE,4
"O75056","Host",4,"down",FALSE,FALSE,4
"O75094-4","Host",5,"down",FALSE,FALSE,4
"O75787","Host",5,"down",FALSE,FALSE,4
"O76061","Host",4,"down",FALSE,FALSE,4
"O76080","Host",5,"down",FALSE,FALSE,4
"O94813","Host",5,"down",FALSE,FALSE,4
"O94964-2","Host",6,"down",FALSE,FALSE,4
"O95503","Host",4,"down",FALSE,FALSE,4
"P01033","Host",4,"down",TRUE,FALSE,2
"P01034","Host",4,"down",TRUE,FALSE,2
"P02452","Host",5,"down",FALSE,FALSE,2
"P02458","Host",5,"down",FALSE,FALSE,4
"P02461","Host",5,"down",FALSE,FALSE,4
"P02649","Host",5,"down",FALSE,FALSE,4
"P02795","Host",6,"down",FALSE,FALSE,4
"P03295","Virus",1,"up",FALSE,TRUE,1
"P03296","Virus",2,"up",FALSE,FALSE,3
"P04021","Virus",3,"up",FALSE,TRUE,1
"P04150-3","Host",6,"down",FALSE,FALSE,4
"P04156","Host",6,"down",FALSE,FALSE,4
"P04195","Virus",3,"up",FALSE,TRUE,1
"P04297","Virus",1,"up",FALSE,FALSE,3
"P04298","Virus",2,"up",FALSE,FALSE,3
"P04300","Virus",1,"up",FALSE,TRUE,1
"P04303","Virus",2,"up",FALSE,FALSE,3
"P04305","Virus",2,"up",FALSE,FALSE,3
"P04310","Virus",2,"up",FALSE,FALSE,3
"P04318","Virus",2,"up",FALSE,FALSE,3
"P04637","Host",5,"down",FALSE,FALSE,2
"P05067","Host",5,"down",FALSE,FALSE,4
"P05121","Host",4,"down",FALSE,FALSE,4
"P05807","Virus",3,"up",FALSE,TRUE,1
"P05997","Host",5,"down",FALSE,FALSE,4
"P06440","Virus",2,"up",FALSE,TRUE,1
"P06856","Virus",2,"up",FALSE,FALSE,3
"P07239","Virus",1,"up",FALSE,FALSE,1
"P07240","Virus",3,"up",FALSE,TRUE,1
"P07242","Virus",2,"up",FALSE,FALSE,3
"P07392","Virus",2,"up",FALSE,FALSE,3
"P07396","Virus",2,"up",FALSE,TRUE,1
"P07585","Host",5,"down",FALSE,FALSE,4
"P07608","Virus",3,"up",FALSE,TRUE,1
"P07610","Virus",3,"up",FALSE,FALSE,1
"P07611","Virus",3,"up",FALSE,TRUE,1
"P07614","Virus",1,"up",FALSE,TRUE,1
"P07616","Virus",1,"up",FALSE,FALSE,1
"P07617","Virus",1,"up",FALSE,FALSE,3
"P07618","Virus",3,"up",FALSE,TRUE,1
"P07711","Host",6,"down",FALSE,FALSE,4
"P08123","Host",5,"down",FALSE,FALSE,4
"P08583","Virus",1,"up",FALSE,FALSE,1
"P08586","Virus",2,"up",FALSE,FALSE,1
"P09486","Host",5,"down",FALSE,FALSE,2
"P09871","Host",5,"down",FALSE,FALSE,4
"P09914","Host",4,"down",FALSE,FALSE,4
"P10275","Host",4,"down",FALSE,FALSE,2
"P10276","Host",4,"down",FALSE,FALSE,2
"P11158","Virus",2,"up",FALSE,FALSE,3
"P11258","Virus",3,"up",FALSE,TRUE,1
"P11362-21","Host",6,"down",FALSE,FALSE,4
"P11802","Host",6,"down",FALSE,FALSE,4
"P12107","Host",5,"down",FALSE,FALSE,4
"P12110","Host",5,"down",FALSE,FALSE,4
"P12110-2","Host",6,"down",FALSE,FALSE,4
"P12848","Virus",2,"up",FALSE,FALSE,3
"P12923","Virus",2,"up",FALSE,FALSE,3
"P12926","Virus",3,"up",FALSE,TRUE,1
"P12927","Virus",1,"up",FALSE,FALSE,1
"P14356","Virus",2,"up",FALSE,FALSE,3
"P15058","Virus",2,"down",FALSE,FALSE,3
"P15059","Virus",2,"up",FALSE,FALSE,3
"P15884-3","Host",5,"down",FALSE,FALSE,4
"P15923-3","Host",6,"down",FALSE,FALSE,4
"P16272","Virus",2,"up",FALSE,FALSE,3
"P16591","Host",5,"down",FALSE,FALSE,4
"P16710","Virus",4,"up",FALSE,TRUE,2
"P16712","Virus",2,"up",FALSE,FALSE,3
"P16713","Virus",3,"up",FALSE,TRUE,1
"P16714","Virus",3,"up",FALSE,FALSE,1
"P16715","Virus",1,"up",FALSE,TRUE,1
"P16913","Virus",2,"up",FALSE,FALSE,3
"P17356","Virus",2,"up",FALSE,FALSE,3
"P17357","Virus",1,"up",FALSE,FALSE,3
"P17361","Virus",2,"up",FALSE,FALSE,1
"P17362","Virus",2,"up",FALSE,TRUE,3
"P17365","Virus",2,"down",FALSE,FALSE,3
"P17366","Virus",2,"up",FALSE,FALSE,3
"P17367","Virus",1,"up",FALSE,FALSE,3
"P17368","Virus",2,"up",FALSE,FALSE,3
"P17370","Virus",2,"up",FALSE,FALSE,3
"P17371","Virus",2,"up",FALSE,FALSE,3
"P17374","Virus",2,"up",FALSE,FALSE,3
"P18146","Host",2,"up",FALSE,FALSE,2
"P18377","Virus",3,"up",FALSE,FALSE,3
"P18378","Virus",1,"up",FALSE,FALSE,3
"P18384","Virus",2,"up",FALSE,FALSE,3
"P18827","Host",6,"down",FALSE,FALSE,4
"P19438","Host",5,"down",FALSE,FALSE,4
"P19883","Host",6,"down",FALSE,FALSE,4
"P20636","Virus",2,"up",FALSE,TRUE,1
"P20908","Host",5,"down",FALSE,FALSE,4
"P21603","Virus",2,"up",FALSE,FALSE,3
"P21605","Virus",2,"up",FALSE,FALSE,3
"P21607","Virus",3,"up",FALSE,TRUE,1
"P22692","Host",4,"down",FALSE,FALSE,4
"P23025","Host",5,"down",FALSE,FALSE,4
"P23142","Host",5,"down",FALSE,FALSE,4
"P23142-4","Host",5,"down",FALSE,FALSE,4
"P23371","Virus",2,"up",FALSE,FALSE,3
"P23372","Virus",2,"up",FALSE,TRUE,1
"P23373","Virus",1,"up",FALSE,FALSE,1
"P24356","Virus",2,"up",FALSE,FALSE,3
"P24358","Virus",2,"up",FALSE,FALSE,3
"P24359","Virus",2,"up",FALSE,FALSE,3
"P24360","Virus",3,"up",FALSE,TRUE,1
"P24361","Virus",2,"up",FALSE,TRUE,1
"P24592","Host",5,"down",FALSE,FALSE,4
"P24757","Virus",2,"up",FALSE,FALSE,3
"P24759","Virus",3,"up",FALSE,TRUE,1
"P24761","Virus",3,"up",FALSE,FALSE,1
"P24764","Virus",3,"down",FALSE,FALSE,1
"P24768","Virus",2,"up",FALSE,TRUE,3
"P24770","Virus",2,"up",FALSE,FALSE,3
"P24772","Virus",1,"up",FALSE,FALSE,3
"P25212","Virus",3,"up",FALSE,TRUE,1
"P25213","Virus",2,"up",FALSE,FALSE,3
"P26669","Virus",3,"up",FALSE,TRUE,1
"P26670","Virus",1,"up",FALSE,FALSE,3
"P26672","Virus",2,"up",FALSE,FALSE,3
"P28300","Host",6,"down",FALSE,FALSE,4
"P29191","Virus",1,"up",FALSE,TRUE,1
"P29192","Virus",3,"up",FALSE,FALSE,1
"P29323","Host",5,"down",FALSE,FALSE,4
"P30305-4","Host",3,"down",TRUE,FALSE,2
"P30504","Host",5,"down",FALSE,FALSE,4
"P30505","Host",6,"down",FALSE,FALSE,4
"P30508","Host",6,"down",FALSE,FALSE,4
"P30530","Host",6,"down",FALSE,FALSE,4
"P31037","Virus",2,"up",FALSE,FALSE,3
"P31431","Host",5,"down",FALSE,FALSE,4
"P33552","Host",5,"down",FALSE,FALSE,4
"P34741","Host",6,"down",FALSE,FALSE,4
"P35052","Host",4,"down",FALSE,FALSE,4
"P35442","Host",6,"down",FALSE,FALSE,4
"P35712","Host",6,"down",FALSE,FALSE,4
